tenure_months,monthly_charges,total_purchases,avg_order_value,num_support_tickets,days_since_last_purchase,is_premium_member,num_returns,app_sessions_per_week,email_open_rate,discount_usage_rate,churn
17.0,29.55,14,38.79,1,11.7,0,0,8.28,0.471,0.304,0
14.4,52.81,8,35.18,1,42.7,0,2,1.63,0.205,0.149,0
26.0,54.84,14,34.54,0,35.8,0,1,6.3,0.617,0.158,0
7.3,17.33,4,26.94,3,8.0,0,0,2.4,0.491,0.47,0
10.2,44.94,5,52.55,1,1.5,0,3,1.02,0.452,0.56,1
16.6,8.71,7,14.51,1,16.3,1,1,3.5,0.617,0.546,0
16.2,71.46,12,68.44,2,6.4,0,0,5.76,0.693,0.325,0
3.4,21.28,2,37.85,4,7.4,0,1,6.7,0.33,0.122,0
9.4,41.6,4,27.9,0,42.8,0,1,1.11,0.458,0.073,0
11.7,44.91,6,14.62,1,26.7,0,0,3.76,0.112,0.213,0
18.0,27.68,4,20.29,1,9.9,1,2,6.77,0.552,0.358,0
16.2,78.29,7,40.78,3,20.8,0,0,10.43,0.402,0.585,0
12.6,32.55,1,31.29,1,4.2,0,0,4.67,0.386,0.163,0
1.7,40.14,1,17.72,0,22.0,1,0,7.79,0.274,0.162,0
13.1,32.59,10,18.56,1,1.3,0,0,2.84,0.379,0.314,0
14.0,32.44,7,28.03,2,21.4,0,0,5.32,0.072,0.144,0
58.4,43.04,32,31.05,0,43.5,0,0,3.07,0.653,0.018,0
11.4,57.65,8,49.07,3,17.4,1,0,0.35,0.619,0.318,0
16.7,47.88,7,29.58,0,8.3,0,1,1.06,0.41,0.249,1
29.0,31.35,19,75.73,0,16.3,0,1,2.82,0.282,0.397,0
22.7,44.89,8,41.05,1,8.0,0,1,5.4,0.525,0.122,0
33.7,20.39,17,48.02,0,6.9,0,2,4.83,0.695,0.336,0
3.5,66.3,0,55.42,1,0.1,0,0,2.46,0.168,0.275,0
5.5,35.89,3,16.91,1,5.8,1,2,5.39,0.128,0.406,0
8.3,36.86,5,28.86,2,44.9,1,0,3.44,0.288,0.143,1
2.9,9.97,2,33.95,1,3.9,1,1,3.68,0.137,0.122,1
14.1,35.88,10,55.14,3,20.1,0,1,0.73,0.594,0.075,0
5.9,75.28,2,37.3,2,19.0,1,0,6.61,0.112,0.257,0
36.6,56.01,21,39.41,4,5.1,0,1,3.18,0.663,0.051,0
6.8,64.96,5,51.16,1,29.5,0,0,2.04,0.47,0.159,0
10.3,47.1,10,50.89,1,11.6,1,2,1.06,0.607,0.113,0
23.6,5.0,12,61.24,2,31.9,0,0,3.22,0.541,0.655,0
4.2,46.25,1,15.86,0,0.2,1,2,0.66,0.273,0.121,0
2.7,48.62,0,29.16,0,3.2,0,1,2.07,0.479,0.244,0
15.3,61.12,7,32.06,1,9.4,0,1,4.13,0.256,0.262,1
16.2,44.34,6,25.69,4,12.9,1,1,1.55,0.402,0.425,0
23.1,31.11,8,44.09,1,15.8,0,1,2.0,0.419,0.324,1
19.5,43.21,14,48.09,2,31.1,1,0,2.99,0.227,0.173,0
16.6,38.84,6,11.06,0,46.7,1,0,3.65,0.885,0.191,0
7.5,54.43,3,47.61,1,7.6,0,1,3.79,0.6,0.163,1
15.9,43.25,15,27.67,1,43.6,0,0,0.94,0.25,0.514,1
16.6,27.18,10,38.36,2,6.2,0,0,1.51,0.283,0.412,0
7.2,55.2,6,24.31,1,1.5,0,0,1.66,0.406,0.459,0
43.4,31.7,19,49.85,1,17.3,1,0,6.33,0.377,0.267,0
18.9,39.31,5,24.33,1,21.9,0,1,4.17,0.69,0.094,0
5.6,36.65,3,37.3,1,7.0,1,0,2.66,0.613,0.487,0
23.2,49.27,10,46.73,1,3.7,0,1,2.35,0.421,0.095,0
26.0,20.32,8,42.65,2,2.0,0,0,4.22,0.409,0.248,0
18.1,45.58,11,25.47,1,11.6,0,1,3.93,0.631,0.105,0
11.0,64.45,3,36.67,1,10.5,0,2,8.1,0.151,0.191,1
7.0,46.72,5,36.83,1,6.7,0,2,6.23,0.129,0.303,0
12.6,32.99,6,47.85,1,5.0,0,0,3.75,0.261,0.223,0
17.2,38.42,12,34.83,1,0.8,1,1,9.92,0.291,0.312,1
13.5,50.32,6,34.02,0,23.4,1,1,2.21,0.659,0.092,0
34.7,55.09,18,33.76,1,9.9,1,0,2.38,0.45,0.504,0
20.9,72.07,7,16.74,0,4.9,0,0,4.26,0.71,0.062,0
6.3,15.74,2,51.5,1,14.5,0,2,1.79,0.49,0.234,0
5.0,49.74,1,55.54,1,42.5,1,2,2.28,0.624,0.325,0
19.0,48.34,12,61.22,2,5.3,1,2,8.38,0.215,0.1,0
11.2,43.8,5,44.51,1,19.0,0,0,4.62,0.702,0.066,0
22.2,51.4,15,19.85,1,50.0,0,0,2.07,0.181,0.191,1
18.8,40.87,7,8.76,1,9.6,0,0,4.57,0.255,0.046,0
12.6,27.02,6,42.61,0,59.4,0,0,2.22,0.386,0.165,0
6.4,48.84,5,27.49,3,0.3,0,2,5.09,0.55,0.579,1
3.0,56.69,2,32.5,2,2.5,1,0,4.1,0.14,0.188,0
15.7,44.15,3,35.0,1,15.2,1,1,0.62,0.189,0.557,1
4.2,64.07,2,42.24,3,13.8,1,2,1.35,0.296,0.109,0
6.1,40.73,4,30.34,2,80.9,1,3,1.42,0.377,0.577,1
15.0,53.29,5,48.95,2,3.1,1,2,6.0,0.44,0.414,0
13.9,16.53,6,27.0,0,93.6,0,0,2.67,0.285,0.098,0
4.7,85.36,2,33.95,2,38.2,0,0,5.81,0.351,0.21,0
27.9,40.9,16,48.34,1,5.0,0,0,7.03,0.273,0.362,0
27.4,36.21,19,32.99,1,9.2,0,1,4.59,0.564,0.598,1
19.4,40.22,5,58.68,1,2.6,1,0,1.27,0.198,0.137,0
19.4,27.92,7,26.96,0,47.9,0,0,4.54,0.521,0.034,0
19.4,23.97,12,53.55,2,9.7,0,0,2.76,0.532,0.135,0
25.8,45.74,9,19.38,0,0.8,1,1,9.71,0.257,0.131,0
21.3,47.05,8,30.96,1,17.2,0,2,5.3,0.31,0.087,1
6.8,49.03,3,49.7,1,6.0,0,1,2.25,0.408,0.292,0
11.0,44.39,6,63.94,2,9.7,1,1,0.4,0.483,0.422,0
54.4,43.5,24,45.74,2,12.7,0,3,2.49,0.464,0.069,0
1.9,23.34,0,49.45,1,1.6,0,1,1.62,0.235,0.566,0
9.0,36.23,4,46.12,1,13.4,0,0,7.27,0.299,0.101,0
28.0,47.9,17,35.22,0,6.8,0,0,3.86,0.474,0.095,0
7.2,35.3,1,5.0,0,24.9,0,0,0.78,0.081,0.196,0
21.7,50.26,10,25.94,4,5.9,0,0,2.2,0.537,0.152,0
13.8,42.57,8,28.85,1,57.7,0,0,2.04,0.42,0.068,0
7.7,42.43,2,23.72,3,27.1,1,2,2.42,0.098,0.516,0
1.4,48.73,1,15.3,1,2.5,0,2,3.33,0.448,0.374,0
15.4,53.73,9,62.69,1,3.0,0,0,5.97,0.453,0.079,0
6.7,57.74,2,28.39,1,8.9,1,0,2.54,0.444,0.103,0
12.2,80.69,5,17.62,0,0.6,0,0,4.21,0.262,0.388,0
19.3,60.55,10,81.36,1,1.0,1,0,3.54,0.098,0.063,0
24.4,18.35,5,53.11,3,25.4,0,0,2.9,0.35,0.452,1
9.0,25.49,3,23.93,2,7.9,1,0,2.04,0.218,0.143,0
7.7,40.06,6,25.4,1,4.6,0,0,2.81,0.438,0.221,0
4.1,31.27,2,18.23,1,9.2,1,2,3.64,0.421,0.599,0
25.2,52.03,12,15.94,1,81.1,1,0,3.82,0.184,0.458,0
49.5,53.94,28,26.32,3,46.5,0,1,7.69,0.173,0.041,0
27.1,36.3,9,45.63,1,5.9,0,0,5.17,0.641,0.123,0
31.2,66.41,16,58.63,1,1.6,1,0,1.96,0.446,0.254,0
7.3,71.18,1,55.78,1,8.0,0,0,7.83,0.403,0.3,1
18.5,12.39,13,56.74,2,0.2,0,1,2.51,0.617,0.227,0
23.0,19.28,11,36.13,1,5.0,0,0,5.46,0.547,0.413,1
5.3,64.75,0,47.12,1,19.6,0,0,3.74,0.085,0.438,0
38.3,60.66,29,43.67,2,1.9,1,1,8.31,0.141,0.293,0
3.3,54.05,1,38.58,1,3.8,0,1,1.7,0.671,0.349,0
34.4,45.2,16,55.82,2,11.3,1,1,1.07,0.104,0.426,0
3.3,43.14,1,48.46,2,25.1,0,1,1.77,0.063,0.028,1
5.5,54.66,3,41.04,2,15.0,0,2,3.65,0.285,0.516,0
18.7,48.18,12,26.39,0,26.4,0,1,3.24,0.425,0.479,1
14.1,68.54,9,57.69,3,1.9,0,0,1.76,0.743,0.189,0
9.7,32.74,5,18.92,1,3.5,0,0,0.93,0.171,0.109,0
37.3,45.32,14,16.59,1,44.2,1,0,2.83,0.53,0.153,0
4.2,61.03,1,5.0,1,64.2,1,1,6.1,0.219,0.612,1
11.8,47.96,12,36.81,0,34.4,1,2,0.35,0.735,0.173,0
20.4,57.12,7,43.69,0,25.5,1,1,3.49,0.224,0.076,1
16.5,56.86,3,19.27,0,1.1,0,2,4.18,0.535,0.398,0
7.9,37.35,6,37.67,0,131.2,1,0,7.59,0.395,0.23,0
8.1,26.63,2,54.51,1,4.7,0,0,3.44,0.21,0.21,0
24.2,31.54,9,47.29,3,10.6,0,1,6.23,0.064,0.256,0
24.9,25.49,16,29.67,1,19.8,0,0,3.39,0.142,0.327,0
16.8,11.59,6,50.15,0,15.6,1,1,5.78,0.077,0.137,0
6.5,64.65,4,53.52,2,94.0,0,0,1.89,0.076,0.014,0
8.3,11.05,0,54.32,0,18.0,0,0,2.58,0.24,0.178,0
13.1,78.51,7,48.1,1,5.0,0,1,3.4,0.404,0.394,1
14.6,35.5,7,15.29,2,16.6,0,1,1.63,0.125,0.292,1
19.8,39.99,6,61.46,0,7.9,0,0,13.81,0.603,0.299,0
11.4,17.73,5,41.76,2,21.9,1,0,5.96,0.772,0.36,1
23.8,51.92,11,31.06,0,0.8,0,0,3.43,0.211,0.327,0
23.6,40.3,8,52.68,0,6.5,0,0,5.58,0.413,0.266,0
31.9,46.1,19,34.33,1,15.9,1,0,9.19,0.31,0.38,0
13.6,30.83,8,5.0,2,30.0,0,0,7.56,0.193,0.235,1
17.0,53.65,8,54.8,2,35.8,1,2,0.56,0.268,0.339,0
12.0,30.17,6,29.66,0,49.2,0,1,3.75,0.044,0.106,1
6.5,46.42,5,35.41,1,9.5,1,0,3.32,0.051,0.387,0
48.7,53.32,21,38.08,3,17.7,0,0,6.01,0.018,0.234,1
29.2,71.12,11,33.43,0,17.6,0,0,3.67,0.158,0.033,0
23.3,59.51,16,40.8,2,45.9,1,0,4.22,0.245,0.36,0
13.2,46.62,6,51.05,2,37.4,0,2,1.83,0.665,0.62,0
6.0,44.86,2,45.68,2,11.1,1,1,0.72,0.273,0.365,1
26.2,50.64,6,22.52,1,18.1,0,1,2.65,0.514,0.087,0
11.9,58.8,4,17.57,1,49.5,0,1,5.06,0.375,0.475,0
18.1,31.6,8,32.17,2,172.9,1,1,1.57,0.333,0.083,1
8.3,61.26,5,26.12,0,26.8,1,0,2.64,0.035,0.662,1
16.0,28.13,5,25.95,2,1.4,0,0,1.53,0.415,0.391,1
8.8,53.21,4,25.49,0,44.5,0,3,2.93,0.403,0.639,0
9.0,54.75,5,57.82,2,13.0,1,0,4.29,0.686,0.538,1
15.9,32.91,1,45.62,1,8.6,1,0,4.35,0.67,0.105,0
3.3,17.24,0,33.18,2,6.9,0,2,0.35,0.211,0.5,1
3.4,40.24,2,39.7,0,32.6,0,0,2.34,0.354,0.673,0
7.2,5.0,3,44.23,1,45.7,1,2,5.74,0.405,0.62,1
11.2,41.79,7,27.45,2,23.2,1,0,6.53,0.365,0.029,0
24.3,22.53,11,39.16,0,1.2,0,0,1.67,0.443,0.109,0
11.7,101.04,0,5.0,1,86.6,1,0,1.77,0.504,0.303,0
13.1,64.06,5,38.73,3,16.3,0,0,1.59,0.422,0.492,1
10.6,46.3,6,47.49,0,35.1,0,4,5.11,0.701,0.141,0
17.0,68.98,12,46.46,2,25.5,0,0,5.89,0.158,0.159,0
6.5,57.69,2,39.28,3,8.2,0,1,0.72,0.141,0.109,0
12.2,24.06,9,18.93,1,50.0,1,1,6.85,0.145,0.208,0
17.9,33.74,5,43.12,3,7.3,1,1,1.21,0.022,0.072,1
15.8,63.53,8,52.79,1,78.0,1,1,9.92,0.58,0.393,0
13.5,27.71,4,52.27,1,82.7,0,1,2.59,0.446,0.488,1
13.6,52.12,3,37.32,1,0.9,0,0,2.65,0.531,0.122,0
19.2,57.15,9,42.15,1,2.8,0,0,2.04,0.456,0.262,0
50.2,40.31,26,34.39,2,5.3,0,0,5.77,0.106,0.365,0
6.9,47.74,5,47.19,3,9.2,0,1,1.52,0.794,0.463,1
51.1,59.97,20,31.21,1,21.2,1,0,7.6,0.14,0.254,0
6.6,59.11,4,30.18,1,9.1,0,0,1.09,0.549,0.182,0
1.2,53.07,1,36.67,1,55.4,0,0,6.26,0.292,0.44,0
8.6,44.77,5,36.45,2,12.9,1,0,4.63,0.41,0.268,0
17.2,55.57,8,16.1,1,16.3,0,0,2.51,0.335,0.089,1
43.6,8.61,24,36.05,1,19.7,0,0,5.72,0.24,0.185,0
6.0,71.56,5,19.96,0,11.1,0,1,2.2,0.441,0.235,1
19.1,42.61,8,37.15,1,20.1,1,0,2.97,0.212,0.301,0
3.8,31.77,1,73.62,0,1.9,1,0,1.06,0.312,0.173,1
42.6,55.79,14,48.55,1,13.9,0,0,1.89,0.088,0.273,1
29.6,55.29,16,22.12,2,8.0,1,1,1.29,0.564,0.4,0
9.1,27.42,3,38.96,2,4.5,1,0,7.17,0.327,0.182,0
32.8,46.22,20,45.93,5,0.8,0,0,3.25,0.091,0.429,0
12.2,45.67,5,20.04,1,30.4,1,4,3.65,0.242,0.076,0
30.6,44.5,17,43.72,2,2.6,1,0,2.34,0.495,0.159,0
13.4,74.23,12,37.18,2,3.7,0,1,3.84,0.602,0.333,0
13.8,44.64,7,36.56,3,3.7,0,1,4.48,0.495,0.418,1
9.2,42.66,6,28.0,1,78.7,0,0,2.52,0.258,0.393,1
20.9,32.75,7,37.85,0,5.8,1,0,0.51,0.432,0.073,0
14.6,30.15,4,57.41,0,4.1,1,2,1.83,0.257,0.074,0
19.4,52.06,8,31.8,2,69.6,0,0,8.37,0.218,0.424,1
2.9,36.54,2,52.42,1,19.7,1,1,11.25,0.117,0.241,0
31.4,41.62,12,38.02,0,22.9,1,1,15.13,0.488,0.219,0
36.6,48.57,17,42.04,3,33.7,0,0,3.72,0.541,0.29,0
14.6,46.15,11,59.31,0,15.8,0,0,1.81,0.481,0.466,0
47.9,47.43,18,36.65,2,15.7,0,0,1.62,0.451,0.12,0
40.9,47.36,26,38.97,1,127.6,1,0,7.91,0.262,0.175,0
21.2,56.24,13,47.6,1,23.4,1,3,3.22,0.667,0.848,0
33.1,92.54,18,23.7,1,24.9,0,0,1.04,0.288,0.269,0
27.5,67.13,10,52.5,1,1.8,0,0,4.85,0.773,0.628,0
2.2,38.48,0,33.27,1,2.4,0,1,3.35,0.65,0.412,0
10.7,66.88,3,31.72,0,14.2,0,0,4.24,0.373,0.239,0
22.2,26.03,12,18.49,1,26.1,0,2,3.59,0.815,0.341,1
38.2,34.81,25,22.49,5,28.0,0,0,1.71,0.709,0.109,0
3.6,57.72,1,43.51,1,30.6,0,0,0.72,0.374,0.562,0
2.3,57.17,0,54.35,1,25.0,0,1,6.89,0.528,0.116,0
12.8,55.83,7,26.08,2,2.5,1,1,1.61,0.55,0.143,0
1.4,34.37,1,46.82,2,35.9,1,0,3.06,0.124,0.274,0
12.4,34.5,6,34.78,0,29.1,0,0,7.94,0.734,0.469,0
17.5,47.36,3,17.35,0,9.4,0,2,1.32,0.612,0.474,0
5.8,40.46,3,31.13,2,10.5,0,1,2.14,0.372,0.164,0
12.7,60.99,6,47.91,3,16.1,1,1,2.46,0.442,0.163,0
25.8,40.01,5,22.65,2,98.8,1,1,8.21,0.498,0.699,0
8.6,39.48,5,18.46,0,27.3,1,1,3.16,0.524,0.455,1
6.7,15.73,3,28.19,1,36.4,0,0,3.59,0.493,0.058,0
12.3,60.76,4,27.48,0,4.6,1,1,8.09,0.302,0.231,0
5.2,50.8,4,63.95,2,14.1,0,0,0.89,0.11,0.244,1
45.7,5.0,28,40.52,1,16.5,1,0,1.43,0.136,0.084,0
13.7,53.01,6,55.78,0,0.9,1,1,0.33,0.5,0.133,0
7.3,37.78,5,36.83,1,2.4,1,1,6.41,0.46,0.214,0
15.7,58.97,14,42.41,1,4.8,0,1,6.58,0.125,0.439,1
12.2,43.11,2,51.35,1,43.0,0,0,0.63,0.224,0.163,0
11.2,30.52,4,17.87,1,29.8,1,2,2.54,0.17,0.452,0
8.6,76.12,1,22.89,0,13.3,1,2,8.25,0.659,0.359,0
8.2,73.3,4,46.02,1,30.7,0,0,2.83,0.328,0.267,1
3.0,41.66,4,39.32,0,14.7,0,0,3.83,0.536,0.341,0
33.0,51.71,19,45.96,1,51.0,1,1,7.75,0.198,0.241,0
20.2,36.73,14,25.44,1,6.7,1,1,11.46,0.639,0.435,0
16.8,14.28,4,35.99,2,2.5,0,1,2.08,0.452,0.333,0
12.1,68.72,5,58.86,1,1.0,1,0,4.5,0.491,0.396,0
5.7,30.64,2,29.19,2,11.5,0,0,0.93,0.135,0.112,0
6.9,67.92,2,51.01,2,7.3,0,0,2.08,0.558,0.287,0
3.4,57.55,3,43.75,2,68.5,0,0,1.94,0.325,0.237,1
7.7,50.17,2,26.12,3,42.8,1,0,0.44,0.222,0.289,0
5.0,44.26,5,55.57,2,11.2,0,0,3.19,0.697,0.707,0
39.5,57.63,16,56.67,5,0.3,0,1,2.97,0.295,0.032,0
24.7,28.25,11,17.93,1,2.0,0,3,3.85,0.23,0.084,0
14.1,69.02,5,49.6,3,4.9,0,2,7.42,0.32,0.486,1
6.3,47.58,4,32.01,3,10.0,0,2,2.27,0.302,0.334,1
5.2,71.91,5,36.02,1,32.4,1,0,1.95,0.333,0.224,0
11.5,42.8,8,7.13,0,38.3,1,1,1.12,0.702,0.662,1
25.4,47.57,11,32.47,0,140.3,1,0,3.02,0.363,0.387,0
3.5,49.75,4,24.93,2,15.1,0,0,8.13,0.419,0.177,1
20.0,55.37,16,36.3,1,59.2,0,0,3.98,0.812,0.139,0
7.7,77.6,5,22.82,1,21.2,0,0,5.67,0.315,0.262,0
8.9,37.11,5,24.14,0,13.0,1,0,1.23,0.506,0.171,0
13.8,42.7,5,23.93,5,2.9,0,0,3.0,0.225,0.736,0
6.5,44.65,3,55.14,1,49.7,1,2,1.49,0.279,0.548,1
11.0,5.0,4,35.36,1,44.9,1,0,2.76,0.42,0.295,1
6.0,35.01,7,44.73,2,42.3,1,1,9.33,0.6,0.265,0
8.2,36.18,3,42.59,1,66.3,0,1,1.08,0.598,0.307,1
22.8,92.49,8,27.3,5,34.2,0,1,1.63,0.392,0.617,0
14.4,49.65,9,43.42,1,0.1,0,0,5.82,0.76,0.364,0
22.7,53.88,12,38.94,0,25.1,0,0,8.61,0.733,0.358,0
7.6,18.56,6,26.25,0,10.8,0,2,5.3,0.302,0.175,0
20.1,43.87,13,35.66,1,57.7,1,0,5.74,0.225,0.389,0
2.6,61.85,0,64.25,1,30.7,1,0,3.42,0.648,0.258,0
13.8,90.3,10,18.97,2,32.5,0,0,0.77,0.272,0.145,1
21.1,32.68,11,30.6,2,2.3,0,0,7.81,0.581,0.253,0
2.5,12.32,2,44.9,3,12.5,1,1,6.48,0.647,0.379,0
7.7,31.04,4,15.93,1,12.2,1,1,3.04,0.156,0.061,0
13.8,31.12,3,33.7,0,13.6,1,1,2.43,0.835,0.685,0
26.7,31.28,14,54.02,1,31.8,0,1,5.46,0.402,0.278,0
8.2,61.34,9,30.65,1,5.0,0,0,1.23,0.222,0.389,1
19.6,51.17,6,53.01,1,4.0,1,0,4.07,0.304,0.406,0
34.5,24.69,25,23.25,1,39.0,1,0,0.88,0.414,0.151,0
20.2,70.49,16,58.39,1,36.0,1,1,0.32,0.26,0.307,0
11.3,79.07,8,70.66,0,21.9,0,0,5.79,0.459,0.327,0
17.5,14.31,4,10.84,1,1.3,0,0,3.66,0.436,0.054,0
8.0,66.2,6,59.71,2,25.5,1,4,2.15,0.188,0.163,1
14.2,41.94,4,35.17,1,2.3,0,0,4.0,0.854,0.449,0
11.8,28.04,7,32.11,1,10.1,0,0,1.2,0.38,0.448,1
17.1,18.81,7,22.96,3,36.6,1,1,2.46,0.665,0.339,0
9.5,36.85,7,21.14,0,0.6,1,1,1.24,0.515,0.458,0
17.8,35.61,8,48.75,3,20.1,0,0,2.15,0.687,0.213,0
9.4,47.65,1,31.68,1,16.1,1,2,2.55,0.42,0.321,0
24.5,83.63,13,8.45,2,9.5,0,1,3.22,0.729,0.12,0
10.2,35.86,4,50.91,1,4.8,1,0,4.11,0.451,0.384,0
1.4,19.68,0,40.88,1,3.6,1,0,5.94,0.538,0.297,0
5.4,39.06,3,30.05,1,36.7,0,1,13.51,0.453,0.318,0
13.5,63.76,6,55.2,0,2.3,1,0,5.63,0.087,0.478,1
39.2,40.54,20,47.27,1,67.1,1,0,1.42,0.157,0.394,0
23.9,56.73,10,45.47,0,4.4,1,0,3.72,0.376,0.326,0
1.1,48.06,2,9.85,2,25.6,0,0,6.17,0.541,0.141,0
3.2,46.1,2,41.08,3,16.3,1,1,1.85,0.122,0.529,0
29.0,73.57,10,48.4,3,9.4,1,0,1.99,0.767,0.331,0
21.0,27.57,3,27.95,2,49.1,0,2,6.82,0.263,0.213,0
53.2,26.27,32,30.01,0,0.7,1,0,4.51,0.611,0.16,0
9.1,28.64,12,6.35,0,29.1,0,0,6.99,0.258,0.526,0
6.3,51.22,3,5.48,1,26.9,0,0,2.97,0.171,0.417,1
14.1,45.96,7,50.38,1,36.1,0,0,1.68,0.224,0.074,0
9.0,57.78,5,32.61,0,44.5,1,1,1.51,0.37,0.364,0
27.2,43.63,13,25.1,1,12.2,0,1,1.98,0.217,0.112,0
8.7,41.48,4,30.23,3,22.5,0,1,5.05,0.357,0.466,0
10.7,50.92,6,53.23,2,17.1,0,1,1.81,0.786,0.311,1
5.6,75.54,1,63.37,1,17.9,0,1,5.14,0.308,0.49,1
22.8,24.08,13,50.94,0,0.5,1,0,3.12,0.444,0.162,0
5.9,28.44,2,36.65,1,65.8,1,0,2.82,0.668,0.255,0
18.1,45.74,6,64.2,1,3.5,0,0,5.76,0.418,0.269,1
43.6,81.58,17,25.6,0,10.7,1,0,1.49,0.388,0.384,0
2.1,25.71,0,19.55,2,24.1,1,0,2.38,0.418,0.245,0
35.5,44.82,16,48.9,1,4.8,1,0,6.8,0.425,0.449,0
16.4,29.21,8,49.32,2,2.5,1,0,1.81,0.383,0.084,0
4.8,52.17,1,42.18,1,45.2,0,0,2.14,0.404,0.302,1
14.5,7.84,10,43.35,2,17.4,0,0,5.6,0.065,0.309,1
22.3,26.35,9,19.52,0,2.9,0,1,1.77,0.313,0.376,0
6.7,68.01,3,39.36,0,41.3,1,1,2.69,0.121,0.59,1
18.8,45.17,17,17.43,2,4.2,1,0,1.23,0.408,0.097,0
37.5,31.58,16,41.02,2,21.4,0,1,3.89,0.131,0.725,1
8.7,44.18,3,56.63,5,38.7,0,0,2.62,0.617,0.376,1
5.5,43.86,4,43.72,1,19.3,1,0,3.97,0.441,0.076,0
12.1,55.09,7,27.39,2,0.1,0,0,9.37,0.299,0.237,0
13.9,7.64,7,38.78,2,21.0,1,0,4.27,0.137,0.468,0
