,age,gender,security_no,region_category,membership_category,joining_date,joined_through_referral,referral_id,preferred_offer_types,medium_of_operation,internet_option,last_visit_time,days_since_last_login,avg_time_spent,avg_transaction_value,avg_frequency_login_days,points_in_wallet,used_special_discount,offer_application_preference,past_complaint,complaint_status,feedback,churn_risk_score
36,30,M,U49RAKX,City,Basic Membership,2016-10-13,Yes,CID37735,Gift Vouchers/Coupons,Smartphone,Mobile_Data,22:46:55,15,68.19,21111.9,23.0,574.01,Yes,Yes,Yes,Solved in Follow-up,Poor Customer Service,1
37,26,M,06HDP63,,No Membership,2017-11-29,Yes,CID39260,Without Offers,Desktop,Wi-Fi,14:55:59,3,215.89,41979.65,9.0,,No,Yes,No,Not Applicable,Too many ads,1
38,26,F,FRAOIDA,Town,No Membership,2017-07-01,Yes,CID26444,Without Offers,Desktop,Wi-Fi,04:16:41,20,194.85,5912.06,13.0,568.34,Yes,No,No,Not Applicable,Too many ads,1
39,49,F,M9F3TE2,Village,Platinum Membership,2017-06-09,Yes,CID18445,Credit/Debit Card Offers,Both,Fiber_Optic,23:11:17,8,706.36,19062.25,Error,780.58,Yes,No,No,Not Applicable,Poor Product Quality,0
40,24,M,FRLCXCJ,City,Premium Membership,2016-10-10,?,CID53825,Without Offers,Desktop,Fiber_Optic,21:06:08,15,210.44,35531.98,25.0,745.49,Yes,No,No,Not Applicable,Poor Product Quality,0
41,22,M,YNN4REK,Town,No Membership,2017-06-02,Yes,CID48405,Without Offers,?,Wi-Fi,00:22:50,4,-930.2078443168743,8415.63,17.0,650.44,No,Yes,Yes,Solved in Follow-up,Too many ads,1
42,33,F,DE6ERGA,Town,Premium Membership,2017-02-02,?,CID44139,Credit/Debit Card Offers,Desktop,Wi-Fi,05:06:03,12,394.26,34697.85,19.0,752.3,Yes,No,Yes,No Information Available,Poor Website,0
43,17,M,EJMEVHN,City,Platinum Membership,2015-12-20,No,xxxxxxxx,Gift Vouchers/Coupons,Desktop,Wi-Fi,01:51:39,6,348.07,94100.72,4.0,824.95,Yes,Yes,No,Not Applicable,User Friendly Website,0
44,36,M,C7QZITU,Village,Silver Membership,2016-11-28,Yes,CID33962,Gift Vouchers/Coupons,?,Mobile_Data,06:06:05,2,691.09,17989.46,Error,,No,Yes,Yes,Solved,No reason specified,1
45,12,M,B1XF70C,City,Premium Membership,2017-02-13,No,xxxxxxxx,Without Offers,Desktop,Mobile_Data,22:27:40,8,33.09,55607.35,Error,,Yes,No,No,Not Applicable,User Friendly Website,0
46,58,F,FBG1O5D,Village,Gold Membership,2017-11-09,No,xxxxxxxx,Without Offers,Smartphone,Mobile_Data,21:21:14,11,30.78,48080.03,10.0,713.62,Yes,No,No,Not Applicable,Poor Product Quality,0
47,41,M,ZQ2RGSW,Town,Platinum Membership,2016-11-20,No,xxxxxxxx,Without Offers,Both,Fiber_Optic,23:21:15,13,282.87,27528.03,27.0,743.8,Yes,No,No,Not Applicable,Poor Website,0
48,30,M,TER02YR,City,Platinum Membership,2015-12-11,?,CID4129,Gift Vouchers/Coupons,Smartphone,Wi-Fi,14:13:01,20,100.42,86433.91,Error,719.93,No,Yes,Yes,Unsolved,Reasonable Price,0
49,50,M,HXIGRU3,City,Premium Membership,2015-10-25,No,xxxxxxxx,Credit/Debit Card Offers,Desktop,Wi-Fi,03:10:02,18,154.7,24197.4,29.0,,No,Yes,Yes,Solved,Too many ads,0
50,23,M,UAAYTIM,Village,Gold Membership,2015-10-22,Yes,CID24995,Without Offers,?,Wi-Fi,14:01:02,10,65.25,5136.08,Error,755.22,No,Yes,No,Not Applicable,Poor Customer Service,0
51,38,M,B2MID6G,Town,Gold Membership,2017-10-15,No,xxxxxxxx,Gift Vouchers/Coupons,Smartphone,Mobile_Data,12:05:44,8,324.75,28535.13,27.0,770.31,Yes,Yes,Yes,Solved,Poor Customer Service,0
52,20,M,PC7X217,City,Silver Membership,2015-01-27,Yes,CID23945,Without Offers,Desktop,Fiber_Optic,04:11:19,16,237.39,25000.09,16.0,704.4,No,Yes,No,Not Applicable,Poor Website,1
53,35,F,EER61FP,Village,Gold Membership,2016-10-30,No,xxxxxxxx,Credit/Debit Card Offers,Smartphone,Fiber_Optic,05:36:03,20,148.24,30984.56,11.0,729.04,Yes,No,No,Not Applicable,Poor Customer Service,0
54,43,M,KJLXRJ7,Town,Premium Membership,2017-04-26,Yes,xxxxxxxx,Without Offers,Both,Wi-Fi,03:32:50,16,773.83,9091.94,20.0,700.4,No,Yes,No,Not Applicable,Poor Product Quality,0
55,32,M,C0LKXD6,City,Silver Membership,2017-07-24,Yes,CID30236,Without Offers,?,Fiber_Optic,02:35:02,13,117.68,19822.82,43.36004149963438,,Yes,No,No,Not Applicable,Too many ads,0
56,40,F,KA10KAJ,Town,Platinum Membership,2015-08-22,?,CID4999,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,11:27:38,18,251.06,63416.63,12.0,1087.184702164714,No,Yes,Yes,Solved in Follow-up,Products always in Stock,0
57,40,F,1C5WWL9,Town,Silver Membership,2017-08-21,Yes,CID15992,Credit/Debit Card Offers,Smartphone,Wi-Fi,02:12:51,-999,46.57,24045.93,8.0,709.73,No,Yes,No,Not Applicable,Poor Product Quality,0
58,48,F,LLPKTT3,Town,No Membership,2017-03-17,?,CID56231,Credit/Debit Card Offers,Smartphone,Wi-Fi,08:24:51,12,539.49,49270.76,12.0,503.95,Yes,No,No,Not Applicable,Too many ads,1
59,35,M,MVC3XG0,Town,Premium Membership,2015-05-11,No,xxxxxxxx,Gift Vouchers/Coupons,Smartphone,Mobile_Data,09:20:14,12,34.48,48679.07,6.0,779.59,Yes,No,No,Not Applicable,Poor Product Quality,0
60,28,M,X54XOQB,Village,Gold Membership,2017-05-17,Yes,CID11661,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,09:42:14,9,-615.344318961141,13131.05,13.0,820.91,Yes,Yes,No,Not Applicable,Quality Customer Care,0
61,44,F,YN0D4XB,,No Membership,2016-08-23,Yes,CID35687,Without Offers,Both,Wi-Fi,22:22:17,13,283.49,7603.71,Error,553.45,Yes,Yes,Yes,Unsolved,No reason specified,1
62,40,M,EY34UCV,Town,Premium Membership,2017-01-31,?,CID15184,Gift Vouchers/Coupons,Desktop,Fiber_Optic,14:31:59,3,33.82,39735.58,25.0,784.32,Yes,No,Yes,No Information Available,Too many ads,0
63,18,F,WGKRXHK,City,Basic Membership,2016-06-17,Yes,CID29938,Credit/Debit Card Offers,Smartphone,Mobile_Data,21:33:45,20,156.06,4783.23,28.75639925305587,597.87,Yes,No,Yes,No Information Available,Too many ads,0
64,10,M,PXDXAK3,,Basic Membership,2015-06-08,No,xxxxxxxx,Credit/Debit Card Offers,Smartphone,Fiber_Optic,11:07:18,12,31.67,25436.23,Error,656.67,No,Yes,No,Not Applicable,Poor Website,1
65,35,M,U2S0ZMS,Town,No Membership,2017-11-27,Yes,CID23426,Without Offers,Smartphone,Mobile_Data,22:34:23,4,157.03,22975.33,18.0,548.1,No,Yes,No,Not Applicable,Poor Website,1
66,43,M,11SAVWA,Town,No Membership,2015-04-06,No,xxxxxxxx,Credit/Debit Card Offers,?,Mobile_Data,13:41:04,11,227.23,29602.15,24.0,663.63,No,Yes,Yes,Unsolved,Poor Product Quality,1
67,28,M,DL6BE96,Village,Basic Membership,2017-10-29,No,xxxxxxxx,Gift Vouchers/Coupons,Desktop,Mobile_Data,12:46:58,4,457.33,20883.28,14.0,-549.3574976761337,No,Yes,No,Not Applicable,Too many ads,1
68,53,M,UZELBS2,Town,Platinum Membership,2017-01-27,No,xxxxxxxx,Without Offers,?,Fiber_Optic,12:50:50,6,228.02,46353.54,19.0,302.005898539957,Yes,No,Yes,No Information Available,No reason specified,0
69,55,F,BTESGNH,Town,Premium Membership,2017-09-03,No,xxxxxxxx,Credit/Debit Card Offers,Smartphone,Mobile_Data,22:22:34,18,42.77,8996.95,Error,749.56,Yes,No,Yes,Unsolved,Poor Website,0
70,59,F,A3SG5HG,Town,No Membership,2017-06-08,Yes,CID8099,Gift Vouchers/Coupons,Desktop,Fiber_Optic,10:53:03,-999,207.52,12556.28,10.0,-44.597632583960205,No,Yes,No,Not Applicable,No reason specified,1
71,39,M,BFC2STE,City,No Membership,2016-12-01,No,xxxxxxxx,Gift Vouchers/Coupons,Desktop,Mobile_Data,04:04:47,13,98.57,2645.63,23.0,674.42,No,Yes,No,Not Applicable,Poor Product Quality,1
72,11,M,K9534WF,City,Gold Membership,2016-06-22,No,xxxxxxxx,Credit/Debit Card Offers,?,Wi-Fi,01:42:15,23,176.31,8983.02,25.0,707.46,No,Yes,Yes,Solved,Poor Product Quality,1
73,37,M,VORACOL,Village,No Membership,2016-05-17,?,CID13799,Without Offers,Both,Mobile_Data,03:29:16,17,687.16,29101.96,18.0,713.82,Yes,Yes,No,Not Applicable,Poor Customer Service,1
74,53,M,G64J9NC,City,No Membership,2017-04-06,No,xxxxxxxx,Credit/Debit Card Offers,Desktop,Wi-Fi,06:24:30,-999,253.96,19233.1,25.0,1032.199126230719,Yes,No,Yes,Solved,Poor Website,1
75,57,M,7JC7H9M,Town,No Membership,2016-01-02,No,xxxxxxxx,Without Offers,Desktop,Fiber_Optic,03:26:00,13,119.1,44341.82,Error,563.92,Yes,No,Yes,No Information Available,Poor Customer Service,1
76,47,M,YIF4UTM,Town,Silver Membership,2015-07-22,?,CID5998,Without Offers,?,Wi-Fi,17:26:06,10,131.86,26399.43,17.0,757.01,No,Yes,Yes,Solved in Follow-up,Poor Customer Service,0
77,50,M,148CAFB,Town,Gold Membership,2015-01-21,Yes,CID60579,Credit/Debit Card Offers,Desktop,Wi-Fi,18:29:15,19,65.39,17054.69,21.0,353.3690014856328,No,Yes,Yes,Solved,No reason specified,0
78,49,F,IJ500YB,City,Silver Membership,2016-08-25,Yes,CID31774,Gift Vouchers/Coupons,?,Wi-Fi,10:39:05,3,74.9,41612.23,28.0,1196.5693152600402,No,Yes,Yes,Solved in Follow-up,No reason specified,1
79,54,M,XR0FV22,Town,Silver Membership,2017-06-21,?,CID58493,Credit/Debit Card Offers,Smartphone,Mobile_Data,04:30:27,20,-687.6295740289631,42060.89,24.0,684.69,Yes,No,Yes,No Information Available,Poor Website,1
80,30,M,U545PNM,Village,Gold Membership,2016-09-17,No,xxxxxxxx,Without Offers,Desktop,Fiber_Optic,10:45:58,9,97.74,32347.7,27.0,,No,Yes,No,Not Applicable,Poor Customer Service,0
81,25,F,RAVGVDP,City,Silver Membership,2015-08-20,?,xxxxxxxx,Without Offers,?,Mobile_Data,04:45:26,13,135.21,3561.26,17.0,,Yes,No,Yes,Solved,Too many ads,0
82,53,F,VDCZUD5,City,Premium Membership,2015-04-02,No,xxxxxxxx,Gift Vouchers/Coupons,Desktop,Wi-Fi,21:35:56,18,172.99,9044.15,8.0,763.14,Yes,No,Yes,Solved in Follow-up,Products always in Stock,0
83,54,M,KUJNEI7,,Basic Membership,2015-08-07,Yes,xxxxxxxx,Credit/Debit Card Offers,Smartphone,Fiber_Optic,19:26:54,13,254.72,11345.66,7.0,572.41,No,Yes,Yes,Solved in Follow-up,Poor Product Quality,1
84,62,F,UHDKJ4T,City,No Membership,2016-10-13,No,xxxxxxxx,Without Offers,Both,Fiber_Optic,07:55:41,5,304.52,47658.52,29.0,699.19,No,Yes,Yes,Solved,Too many ads,1
85,55,M,E1EYCEB,City,Platinum Membership,2015-04-14,Yes,CID47303,Credit/Debit Card Offers,Both,Mobile_Data,22:44:04,1,1316.52,2367.56,25.0,441.8365499392011,Yes,No,No,Not Applicable,No reason specified,0
86,30,F,D489TNE,,No Membership,2017-11-13,?,CID44952,Credit/Debit Card Offers,Desktop,Wi-Fi,08:37:37,13,264.54,40756.7,26.0,628.31,Yes,No,No,Not Applicable,Too many ads,1
87,30,M,26RJY6I,City,Silver Membership,2017-06-03,No,xxxxxxxx,Credit/Debit Card Offers,Smartphone,Fiber_Optic,02:48:44,12,191.41,25575.44,Error,648.68,No,Yes,Yes,Solved in Follow-up,Poor Customer Service,1
88,51,M,0LS5PB4,Town,Premium Membership,2015-12-10,Yes,CID27690,Without Offers,Desktop,Wi-Fi,10:11:22,13,135.09,48819.9,8.0,,Yes,No,Yes,Solved in Follow-up,Poor Customer Service,0
89,29,M,FKA8V9P,Village,Silver Membership,2017-11-07,Yes,CID13740,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,05:44:02,12,123.37,13032.52,6.0,,Yes,No,No,Not Applicable,No reason specified,1
90,16,M,S6B5HER,City,Silver Membership,2017-11-06,?,CID62149,Gift Vouchers/Coupons,Desktop,Fiber_Optic,06:48:52,9,355.31,20457.22,5.0,1233.7697272353937,Yes,Yes,Yes,Solved in Follow-up,Poor Product Quality,0
91,25,F,IHGGCOB,Village,Gold Membership,2017-05-18,Yes,CID4642,Without Offers,Smartphone,Mobile_Data,15:00:18,11,31.88,35414.54,20.0,788.67,No,Yes,No,Not Applicable,No reason specified,0
92,62,F,8EC483J,City,Basic Membership,2017-07-06,No,xxxxxxxx,Credit/Debit Card Offers,Smartphone,Wi-Fi,10:16:47,14,125.0,38802.24,28.0,,No,Yes,Yes,Unsolved,No reason specified,1
93,24,F,7VI8S2N,Town,Premium Membership,2017-08-29,Yes,CID40499,Without Offers,Desktop,Fiber_Optic,20:42:49,5,181.34,43554.96,1.0,728.69,Yes,No,Yes,Solved in Follow-up,Products always in Stock,0
94,48,M,0FXRTQ3,City,No Membership,2015-03-27,Yes,CID29095,,Desktop,Mobile_Data,18:59:30,8,960.62,13954.02,17.0,631.15,No,Yes,Yes,Solved,Poor Customer Service,1
95,56,M,CFXGFEO,Village,Basic Membership,2017-08-22,Yes,CID11447,Credit/Debit Card Offers,Desktop,Wi-Fi,18:27:08,24,48.59,28071.04,16.0,533.05,No,Yes,Yes,Solved,Poor Website,1
96,17,M,Y2PJ70L,,Basic Membership,2016-12-28,Yes,CID52970,Credit/Debit Card Offers,Desktop,Wi-Fi,13:52:30,12,30.12,15027.14,12.0,,No,Yes,No,Not Applicable,No reason specified,1
97,23,F,JAWMYHN,Town,Gold Membership,2016-08-04,Yes,CID3210,Without Offers,Desktop,Wi-Fi,10:53:56,21,727.69,4919.72,13.0,758.83,Yes,Yes,No,Not Applicable,Too many ads,0
98,42,F,V8LT71V,City,No Membership,2016-06-23,No,xxxxxxxx,Gift Vouchers/Coupons,Both,Fiber_Optic,12:35:00,3,419.51,14661.42,Error,404.4897583720529,No,Yes,Yes,Solved in Follow-up,No reason specified,1
99,59,M,OOEQJ9E,Village,Gold Membership,2015-09-01,Yes,CID45337,Without Offers,Both,Mobile_Data,00:41:03,8,899.04,49614.88,23.0,758.69,Yes,No,No,Not Applicable,Poor Website,0
100,18,M,WXJCO6L,Town,Basic Membership,2015-12-22,No,xxxxxxxx,Credit/Debit Card Offers,Desktop,Mobile_Data,05:19:35,11,293.42,2521.3,Error,964.8409708374116,Yes,No,Yes,No Information Available,Poor Customer Service,1
101,23,M,XDANU0N,City,Gold Membership,2015-06-21,Yes,CID44094,Credit/Debit Card Offers,Desktop,Wi-Fi,07:05:14,10,934.354219849904,11955.94,24.0,630.8,No,Yes,Yes,Unsolved,Poor Customer Service,1
102,52,F,0B93V8I,City,Basic Membership,2017-11-13,Yes,CID60201,Credit/Debit Card Offers,Smartphone,Mobile_Data,20:27:36,4,826.51,14877.24,25.0,522.61,Yes,No,No,Not Applicable,Poor Customer Service,1
103,49,F,80X3LBS,Town,Premium Membership,2016-09-02,Yes,xxxxxxxx,Gift Vouchers/Coupons,Desktop,Mobile_Data,16:09:53,21,115.41,41156.81,27.0,741.02,No,Yes,No,Not Applicable,Poor Customer Service,0
104,30,M,WX9FMKD,,Premium Membership,2017-05-14,No,xxxxxxxx,Gift Vouchers/Coupons,?,Wi-Fi,01:07:51,7,481.45,4207.45,28.0,776.36,Yes,Yes,No,Not Applicable,Poor Customer Service,0
105,31,F,FXTLHJO,Town,Basic Membership,2016-08-18,No,xxxxxxxx,Gift Vouchers/Coupons,Desktop,Mobile_Data,10:40:33,14,148.95,2364.45,Error,634.51,No,Yes,No,Not Applicable,Too many ads,1
106,27,M,1Q644S2,City,Silver Membership,2016-10-23,No,xxxxxxxx,Credit/Debit Card Offers,Smartphone,Mobile_Data,19:13:01,21,357.45,29825.45,9.0,665.63,No,Yes,Yes,Solved,Poor Website,1
107,56,M,DEN5T45,City,Gold Membership,2016-04-24,No,xxxxxxxx,Without Offers,Desktop,Fiber_Optic,02:55:41,21,1386.2328573111793,9454.17,19.0,778.27,Yes,No,No,Not Applicable,Too many ads,0
108,11,M,HO7SVW2,,Silver Membership,2016-08-24,No,xxxxxxxx,Credit/Debit Card Offers,Desktop,Fiber_Optic,10:45:18,15,96.14,11995.93,19.0,207.1697690180181,Yes,No,No,Not Applicable,Poor Customer Service,1
109,31,F,8AWVLE2,Town,Silver Membership,2017-04-13,No,xxxxxxxx,Credit/Debit Card Offers,Both,Wi-Fi,18:41:44,10,428.05,6325.08,28.0,80.09369312905504,No,Yes,No,Not Applicable,Poor Product Quality,1
110,29,M,VLT3N4A,Town,Premium Membership,2016-05-07,No,xxxxxxxx,Gift Vouchers/Coupons,Desktop,Wi-Fi,10:59:38,14,42.48,16098.94,21.0,766.85,Yes,No,Yes,Solved,Poor Website,0
111,31,F,W20NHNO,City,Silver Membership,2016-04-20,Yes,CID42557,Without Offers,Smartphone,Wi-Fi,10:24:44,24,33.91,23226.43,7.0,762.48,No,Yes,Yes,Solved,Poor Customer Service,0
112,11,F,PB5J0JP,Town,Basic Membership,2015-03-10,No,xxxxxxxx,Gift Vouchers/Coupons,Desktop,Mobile_Data,12:23:20,8,1060.5279791549135,10990.31,16.0,271.71438129394863,Yes,No,No,Not Applicable,Poor Product Quality,1
113,14,M,0ISW03K,Town,Basic Membership,2017-07-19,No,xxxxxxxx,Credit/Debit Card Offers,Desktop,Mobile_Data,15:34:53,-999,1156.4319042423044,32302.27,24.0,520.33,No,Yes,No,Not Applicable,Poor Customer Service,1
114,26,M,ELWT1XG,City,Silver Membership,2017-11-14,Yes,xxxxxxxx,Gift Vouchers/Coupons,Smartphone,Mobile_Data,09:43:15,7,187.91,17002.23,11.0,700.11,No,Yes,No,Not Applicable,Too many ads,0
115,62,M,TS6F948,,Premium Membership,2016-01-09,No,xxxxxxxx,Credit/Debit Card Offers,Desktop,Mobile_Data,04:35:00,10,284.09,48305.86,Error,730.05,No,Yes,No,Not Applicable,Poor Website,0
116,51,M,LOSAGM2,Village,Platinum Membership,2017-09-22,No,xxxxxxxx,Without Offers,Desktop,Fiber_Optic,16:51:53,3,-494.0838770502796,40667.27,19.0,809.83,Yes,No,No,Not Applicable,Reasonable Price,0
117,43,F,DTMKCNR,Village,Silver Membership,2016-12-12,Yes,CID9864,Credit/Debit Card Offers,Smartphone,Fiber_Optic,20:43:54,20,-771.4156089065677,16186.76,8.0,633.22,Yes,No,No,Not Applicable,Poor Customer Service,1
118,23,M,ZS5JITE,Town,Gold Membership,2016-03-17,?,xxxxxxxx,Gift Vouchers/Coupons,Desktop,Fiber_Optic,12:10:42,12,109.76,46102.66,8.0,783.03,Yes,No,No,Not Applicable,Poor Product Quality,0
